Index,Line_breaks,Indents,Bolded,Italicized,Underlined,"DR/CR, Entered Accounts",Calculated_Accounts,Inherited_Accounts,账本名称,Account_name,Formula,_{t1},_{t0},Commentary
SFP_A_FA_D_CAD_BV,0,4,0,0,0,1,0,0,???BV,???BV,,,,
SFP_A_FA_D_CAD_CUM_UGLΔFV,0,4,0,0,0,1,0,0,???CUM_GLΔFV,???CUM_GLΔFV,,,,
SFP_A_FA_D_CNY,0,3,0,0,0,0,1,0,??CNY,??CNY,,,,
SFP_A_FA_D_CNY_BV,0,4,0,0,0,1,0,0,???BV,???BV,,,,
SFP_A_FA_D_CNY_CUM_UGLΔFV,0,4,0,0,0,1,0,0,???CUM_GLΔFV,???CUM_GLΔFV,,,,
SFP_A_FA_D_HKD,0,3,0,0,0,0,1,0,??HKD,??HKD,,,,
SFP_A_FA_D_HKD_BV,0,4,0,0,0,1,0,0,???BV,???BV,,,,
SFP_A_FA_D_HKD_CUM_UGLΔFV,0,4,0,0,0,1,0,0,???CUM_GLΔFV,???CUM_GLΔFV,,,,
SFP_A_FA_D_USD,0,3,0,0,0,0,1,0,??USD,??USD,,,,
SFP_A_FA_D_USD_BV,0,4,0,0,0,1,0,0,???BV,???BV,,,,
SFP_A_FA_D_USD_CUM_UGLΔFV,0,4,0,0,0,1,0,0,???CUM_GLΔFV,???CUM_GLΔFV,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SFP_A_FA_O,1,2,0,0,0,0,1,0,?其他金融资产,?Other financial assets,,,,
SFP_A_FA_O_CAD,0,3,0,0,0,0,1,0,??CAD,??CAD,,,,
SFP_A_FA_O_CAD_BV,0,4,0,0,0,1,0,0,???BV,???BV,,,,
SFP_A_FA_O_CAD_CUM_UGLΔFV,0,4,   ,0,0,1,0,0,???CUM_GLΔFV,???CUM_GLΔFV,,,,
SFP_A_FA_O_CNY,0,3,0,0,0,0,1,0,??CNY,??CNY,,,,
SFP_A_FA_O_CNY_BV,0,4,0,0,0,1,0,0,???BV,???BV,,,,
